0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,270,157,86,67,297,39,76,201,2,35,94,35,140,17,107,55,77,168,21,25,108,2077
2,104,53,34,21,103,15,28,69,3,8,31,11,35,2,30,19,29,54,14,10,28,701
3,67,37,18,22,66,8,21,44,1,8,15,11,25,11,24,9,24,35,7,6,19,478
4,28,21,6,6,28,5,8,18,0,0,2,0,9,2,6,2,7,10,1,2,9,170
5,37,26,9,14,43,9,12,35,1,7,13,5,16,0,20,2,13,11,3,5,15,296
6,122,57,41,24,143,22,29,105,4,4,16,21,54,9,62,21,41,79,10,19,57,940
7,60,38,24,20,56,7,14,49,1,20,12,8,26,9,33,7,19,21,4,8,22,458
8,12,4,1,1,16,0,1,2,0,3,11,2,1,1,1,0,3,4,0,0,5,68
9,23,6,1,1,20,3,5,9,1,0,5,1,5,1,4,2,5,7,0,2,1,102
10,109,60,36,23,150,20,25,97,4,10,37,9,51,7,52,21,41,82,9,9,36,888
11,132,103,47,42,127,16,53,125,3,21,17,20,54,17,59,20,50,59,10,11,47,1033
12,25,10,7,3,28,6,4,10,0,2,11,4,5,3,8,0,10,8,3,5,8,160
13,20,3,4,1,16,3,3,8,0,1,9,4,5,0,2,1,4,10,0,1,4,99
14,17,21,10,3,18,4,6,14,0,1,3,5,9,1,7,2,10,7,4,1,10,153
15,28,9,6,6,22,2,6,14,0,2,6,1,8,1,1,3,3,15,3,1,9,146
16,90,53,28,24,100,15,25,77,2,3,9,13,34,3,46,22,38,44,11,11,34,682
17,95,111,57,26,97,7,39,88,2,29,14,18,35,19,36,13,41,37,1,10,60,835
18,19,7,11,7,31,5,4,15,0,0,3,3,8,1,9,3,5,6,4,3,13,157
19,55,25,14,9,80,13,16,32,2,3,20,8,17,5,18,2,18,21,9,7,15,389
20,34,7,5,4,29,8,3,13,0,1,2,1,8,0,10,1,9,14,2,3,6,160
21,173,103,72,40,161,30,46,165,2,17,20,32,71,17,77,37,60,118,13,21,81,1356
22,58,32,18,13,52,8,15,42,1,5,4,5,10,1,25,6,22,28,6,6,21,378
23,27,5,5,5,25,3,2,13,0,1,3,1,7,0,3,1,5,11,3,1,5,126
24,81,39,28,17,111,21,25,53,3,7,20,3,41,3,35,8,30,51,11,11,26,624
25,118,98,62,32,132,17,53,105,2,10,7,22,45,13,56,23,47,60,7,15,56,980
26,11,13,8,3,26,0,3,6,0,0,4,1,1,1,2,6,1,3,0,0,11,100
27,10,4,2,2,14,1,3,4,0,0,5,1,1,1,4,0,2,2,1,0,4,61
28,25,28,8,7,12,0,8,17,0,4,1,8,7,4,7,5,11,4,0,1,22,179
29,56,26,33,12,74,8,8,19,1,1,5,5,42,0,13,10,12,27,3,7,41,403
30,10,7,8,1,12,3,1,4,0,0,0,2,5,2,2,4,3,0,1,2,7,74
31,20,14,6,4,32,3,5,10,0,2,3,1,9,1,6,1,5,9,1,2,7,141
32,196,110,85,37,218,22,47,141,2,9,34,25,113,14,68,49,55,154,19,29,84,1511
33,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4
34,213,167,83,60,224,27,66,165,4,33,72,43,98,25,73,48,74,132,18,24,102,1751
35,15,12,5,2,7,0,3,7,0,2,0,0,2,1,1,1,3,1,0,2,6,70
